id,name,owner,capacity,fuel,year
613,Biomasseheizkraftwerk Piesteritz,Stadtwerke Leipzig GmbH,18.1,Biomass,2009
614,MHKW Rothensee,Müllheizkraftwerk Rothensee GmbH,29.2,Waste,2005
615,MHKW Rothensee,Müllheizkraftwerk Rothensee GmbH,29.2,Waste,2006
616,Mahlwinkel-Nord,Breeze Four Energy GmbH & Co. KG,32.0,Wind,2008
617,Kraftwerk Mainz,Kraftwerke Mainz-Wiesbaden AG,434.2,Gas,2000
618,Kraftwerk Mainz,Kraftwerke Mainz-Wiesbaden AG,335.0,Gas,1976
619,Biomasse-Heizkraftwerk Malchin,envia THERM GmbH,9.8,Biomass,2003
620,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,innogy SE,28.8,Wind,2001
621,,EREM GmbH & Co. German Wind KG c/o Treucon Asset Mgmt. GmbH,14.4,Wind,2002
622,BMKW Mannheim,MVV Energie AG,17.9,Biomass,2003
623,SCA Mannheim,Essity Operations Mannheim GmbH,40.0,Biomass,2003
624,HKW Mannheim,MVV Energie AG,2.78,Waste,
625,HKW Mannheim,MVV Energie AG,5.56,Waste,
626,HKW Mannheim,MVV Energie AG,8.65,Waste,2006
627,HKW Mannheim,MVV Energie AG,22.1,Waste,2010
628,HKW Mannheim,MVV Energie AG,5.37,Waste,2012
629,HKW Mannheim,MVV Energie AG,3.88,Waste,2012
630,GKM ,Grosskraftwerk Mannheim AG,202.5,Coal,1966
631,GKM ,Grosskraftwerk Mannheim AG,202.5,Coal,1970
632,GKM ,Grosskraftwerk Mannheim AG,255.0,Coal,2005
633,GKM ,Grosskraftwerk Mannheim AG,425.0,Coal,1982
634,GKM ,Grosskraftwerk Mannheim AG,435.0,Coal,1993
635,GKM ,Grosskraftwerk Mannheim AG,843.0,Coal,2015
636,Dampfkraftwerk Marbach am Neckar,EnBW Energie Baden-Württemberg AG,77.4,Oil,1971
637,Dampfkraftwerk Marbach am Neckar,EnBW Energie Baden-Württemberg AG,85.0,Oil,1975
638,Dampfkraftwerk Marbach am Neckar,EnBW Energie Baden-Württemberg AG,263.5,Oil,1975
639,,Planung-Aufbau-Verwaltung Eidelweg GmbH & Co. KG,18.8,Wind,2004
640,Windpark Bredenborn,Breeze Three Energy GmbH & Co. KG,16.5,Wind,2002
641,Markersbach,Vattenfall Wasserkraft GmbH,1045.2,Hydro,1979
642,Markersbach,Vattenfall Wasserkraft GmbH,,Hydro,1980
